STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/24/2017,9.17,0.47,1.2,1.2,31,32,29,300,290,16.1,21,1,,,1,,1,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/25/2017,8.28,0.01,0.2,1.2,32,38,28,250,250,18.1,23,1,,,,,1,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/26/2017,15.21,0.07,0,0,39,45,33,260,260,31.1,36.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/27/2017,20.36,0.01,0.2,0,34,36,31,260,260,29.1,36,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/28/2017,14.76,0,0.1,0,31,34,29,240,240,23.9,29.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/29/2017,13.87,0,0.1,0,31,32,23,250,240,23.9,29.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/30/2017,8.28,0,0.5,0,22,24,12,270,250,18.1,23,1,,,,,,1,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,1/31/2017,7.61,0.05,1.3,0,18,24,11,80,90,15,19,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/1/2017,13.87,0.08,1.4,2,29,36,23,250,250,25.9,36.9,1,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/2/2017,12.08,0.1,2.2,2,27,29,20,250,240,29.1,38,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/3/2017,18.57,0,0,3.1,21,23,17,240,240,28,32,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/4/2017,12.53,0.11,3.5,5.1,20,27,15,250,260,28,34,1,,,,,,1,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/5/2017,10.07,0.01,0.4,3.9,25,33,17,250,230,25.1,32,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/6/2017,6.04,0.01,0.2,3.9,27,30,22,310,310,21.9,28,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/7/2017,12.53,0.61,0,3.1,29,48,27,180,180,29.1,36,1,,,,,1,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/8/2017,13.65,0.04,0,0,41,52,26,260,280,31.1,38.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/9/2017,12.53,0.16,3.6,1.2,20,26,11,300,300,23.9,29.1,1,1,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/10/2017,8.5,0.09,1.9,3.9,17,26,15,300,300,23,29.1,1,,,,,,1,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/11/2017,3.8,0,0.1,3.1,28,37,25,290,140,12.1,14.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/12/2017,8.05,0.57,5.5,2,30,34,27,280,270,25.1,33.1,1,,,1,,1,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/13/2017,14.99,0.25,7.3,11.8,28,32,24,270,270,30,38.9,1,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/14/2017,6.71,0,0,11.8,29,40,23,260,270,15,17,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/15/2017,11.18,0.25,1,7.9,35,38,26,270,270,23.9,30,1,1,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/16/2017,14.76,0.01,4.8,11,24,26,21,270,260,21.9,27.1,1,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/17/2017,7.16,0.01,0.5,11.8,24,30,18,290,310,17,21.9,1,,,,,,1,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/18/2017,7.61,0,0,9.8,32,57,18,260,260,25.1,34,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/19/2017,11.41,0,0,7.1,45,52,34,300,290,23.9,34,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/20/2017,7.61,0,0,3.9,35,37,23,320,310,16.1,19.9,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/21/2017,8.5,0.03,0,2,33,47,21,150,120,16.1,19.9,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/22/2017,4.03,0,0,0,45,60,34,80,,6.9,,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/23/2017,9.62,0,0,0,54,69,42,230,200,23.9,30,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/24/2017,7.38,0.74,0,0,49,71,38,180,180,28,34,1,,1,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/25/2017,15.21,0.48,0.1,0,59,68,31,180,180,29.1,38.9,1,,1,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/26/2017,14.54,0,0.2,0,32,34,27,270,280,29.1,36.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/27/2017,12.3,0,0,0,39,52,32,240,200,21.9,33.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,2/28/2017,7.38,0,0,0,43,59,32,190,190,21.9,31.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/1/2017,15.88,0.05,0,0,59,68,45,270,270,38,47,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/2/2017,22.59,0,1.8,1.2,35,45,19,260,270,44.1,64,1,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/3/2017,15.43,0,0.5,0,23,29,15,280,280,36,45,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/4/2017,10.74,0.01,0.3,1.2,14,16,7,320,330,25.1,30,1,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/5/2017,2.91,0,0,0,12,27,2,80,210,10.1,13,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/6/2017,7.83,0.01,0,0,28,49,18,100,70,15,18.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/7/2017,10.29,0.43,0,0,45,55,37,300,300,33.1,40.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/8/2017,14.32,0.2,0,0,47,55,34,250,260,40.9,50.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/9/2017,12.3,0,0,0,37,40,30,290,290,30,38,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/10/2017,17,0,0.5,0,28,31,11,290,290,32,45,,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/11/2017,16.33,0.02,1,0,13,17,8,280,250,28,38.9,1,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/12/2017,11.18,0.03,1,1.2,13,19,8,270,270,23.9,29.1,1,,,,,,1,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/13/2017,3.8,0,0,2,14,21,6,20,10,12.1,14.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/14/2017,13.2,0.96,18.9,2,19,22,15,330,330,23.9,35.1,1,1,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/15/2017,14.99,0.2,5.5,20.9,17,25,15,310,310,23,32,1,1,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/16/2017,16.33,0,0,20.1,24,30,19,270,280,31.1,40,,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/17/2017,8.95,0,0,15,28,38,19,260,250,17,21,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/18/2017,9.17,0.11,0.7,11.8,25,35,15,90,90,17,21.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/19/2017,5.59,0,0,11,34,42,25,330,290,17,19.9,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/20/2017,1.34,0,0,7.9,30,39,20,250,260,10.1,12.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/21/2017,9.62,0,0,5.9,38,46,33,290,280,30,38.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/22/2017,16.33,0.02,0.5,5.1,25,34,15,330,330,28,36,1,,,,,,,1
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/23/2017,4.25,0,0,3.9,22,34,10,240,240,15,17,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/24/2017,7.38,0.13,0,3.1,36,47,30,190,170,16.1,23,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/25/2017,4.25,0.36,0,1.2,37,39,34,300,310,8.9,11,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/26/2017,12.97,0.04,0,0,37,43,33,120,110,21,25.9,1,,,,,1,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/27/2017,5.82,0.17,0,0,43,53,37,140,140,16.1,21,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/28/2017,6.04,0,0,0,43,52,39,320,310,16.1,19.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/29/2017,9.17,0,0,0,40,47,28,330,330,23,29.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/30/2017,7.38,0.3,0.2,0,35,47,25,90,90,19.9,25.9,1,,,,,,1,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,3/31/2017,13.65,0.81,0,0,35,38,32,80,80,19.9,25.1,1,,,1,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/1/2017,6.93,0.02,0,0,36,40,32,290,310,15,19,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/2/2017,6.49,0,0,0,42,56,31,250,260,19.9,23.9,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/3/2017,7.61,0.15,0,0,46,62,33,120,140,19.9,28,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/4/2017,11.18,1.45,0,0,51,58,46,260,250,28,36,1,,1,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/5/2017,12.08,0,0,0,45,47,40,250,250,25.9,36,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/6/2017,12.3,0.91,0,0,44,50,39,90,100,23,27.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/7/2017,15.21,0.27,0.3,0,36,39,32,250,290,23.9,30,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/8/2017,12.75,0,0,0,38,46,31,270,300,23,29.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/9/2017,6.04,0,0,0,48,69,29,220,210,15,19,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/10/2017,9.4,0,0,0,67,81,56,240,240,25.1,33.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/11/2017,6.71,0.15,0,0,63,75,49,260,250,23,27.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/12/2017,10.74,0,0,0,50,58,40,290,300,21.9,30,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/13/2017,8.05,0,0,0,44,52,36,280,290,17,21.9,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/14/2017,3.36,0,0,0,45,62,29,360,40,10.1,13,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/15/2017,8.5,0.09,0,0,52,71,36,210,200,19.9,28,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/16/2017,16.11,0.12,0,0,70,81,57,240,240,32,45,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/17/2017,11.86,0,0,0,55,57,38,280,290,21.9,25.9,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/18/2017,4.92,0,0,0,44,57,31,80,340,8.9,12.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/19/2017,11.41,0.5,0,0,50,56,44,180,190,25.1,35.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/20/2017,5.37,0.75,0,0,52,59,48,90,90,18.1,21,1,,1,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/21/2017,8.05,0.2,0,0,54,59,48,320,330,19.9,23.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/22/2017,8.95,0,0,0,47,50,37,300,300,18.1,23,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/23/2017,3.13,0,0,0,48,66,32,270,260,12.1,17,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/24/2017,3.8,0,0,0,53,70,37,330,30,12.1,15,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/25/2017,13.2,0.19,0,0,53,58,47,90,90,21,25.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/26/2017,7.16,0,0,0,58,73,50,80,90,15,17,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/27/2017,10.74,0.04,0,0,67,82,55,170,170,18.1,25.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/28/2017,7.16,0.1,0,0,65,73,53,270,260,18.1,23.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/29/2017,8.05,0,0,0,59,65,44,270,270,21,27.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,4/30/2017,8.05,0.01,0,0,48,63,39,110,350,16.1,19.9,,,1,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/1/2017,8.05,0.78,0,0,62,77,50,270,250,31.1,40,1,,1,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/2/2017,12.08,0.1,0,0,55,62,48,260,260,33.1,38.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/3/2017,13.87,0,0,0,48,53,39,280,250,25.9,33.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/4/2017,6.49,0.08,0,0,47,59,33,160,140,21,28,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/5/2017,12.75,1.2,0,0,47,53,44,70,40,21.9,28,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/6/2017,10.74,0.64,0,0,51,56,44,190,180,21,36.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/7/2017,12.08,0.14,0,0,42,44,38,300,300,18.1,23.9,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/8/2017,10.51,0,0,0,40,47,33,290,280,23,30,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/9/2017,6.04,0,0,0,43,51,34,320,320,13,16.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/10/2017,2.91,0,0,0,42,54,30,350,20,10.1,13,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/11/2017,5.14,0,0,0,48,64,35,310,100,15,18.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/12/2017,2.91,0,0,0,54,67,40,310,300,10.1,13,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/13/2017,5.82,0.17,0,0,53,55,47,120,90,14.1,16.1,1,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/14/2017,8.95,0.05,0,0,51,63,41,280,270,23,29.1,1,1,1,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/15/2017,13.2,0,0,0,52,63,47,300,320,21,28,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/16/2017,5.37,0,0,0,58,70,45,250,280,15,21,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/17/2017,8.72,0,0,0,71,88,55,240,240,23,31.1,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,125.9,5/18/2017,10.74,0.12,0,0,76,88,63,240,240,23.9,33.1,1,,1,,,,,
